player;age;height;nationality;position;value;games;minutes;goals;assists;crosses;tackles;pressures;blocks;touches;fouls;fouled;offsides;own goals;ball recoveries;saves;squad;Season;league;Attendance;games starts;passes completed;sca;gca;dribbles completed;pens won;goals against gk;shots on target against;CLBestScorer;cards yellow;shots total;LgRk;MP;W;D;L;GF;GA;Pts;CL;WinCL
Zouhair Feddal;30;192;Morocco;Defender;4000000;17;1431;1;2;1;17;124;19;1236;23;10;0;0;159;0;Betis;01/01/2019;La Liga;35969;16;917;15;4;4;0;0;0;No;10;9;15;38;10;11;17;48;60;41;No;No
Zlatan Ibrahimović;37;195;Sweden;Forward;3500000;18;1362;10;5;23;4;126;9;813;30;16;20;0;59;0;Milan;01/01/2019;Serie A;34078;16;434;58;7;12;0;0;0;No;1;63;6;38;19;9;10;63;46;66;No;No
Zinedine Ferhat;26;180;Algeria;Forward;2000000;26;2246;3;4;85;27;263;24;1264;17;54;7;0;179;0;Nîmes;01/01/2019;Ligue 1;12555;25;600;91;6;54;0;0;0;No;1;45;18;28;7;6;15;29;44;27;No;No
Zinédine Ould Khaled;19;195;France;Midfield;15000;1;59;0;0;0;1;24;3;38;2;0;0;0;5;0;Angers;01/01/2019;Ligue 1;9825;1;22;0;0;1;0;0;0;No;0;0;11;28;11;6;11;28;33;39;No;No
Zeki Celik;22;180;Turkey;Defender;20000000;23;2070;0;2;47;65;391;37;1613;38;11;4;1;232;0;Lille;01/01/2019;Ligue 1;36404;23;1094;30;5;19;1;0;0;No;4;5;4;28;15;4;9;35;27;49;No;No
Zaydou Youssouf;20;182;France;Midfield;7000000;16;1077;0;0;8;40;204;14;658;15;27;0;0;120;0;Saint-Étienne;01/01/2019;Ligue 1;23205;9;425;22;2;29;0;0;0;No;4;8;17;28;8;6;14;29;45;30;No;No
Zack Steffen;24;191;United States;Goalkeeper;6000000;17;1530;0;0;0;0;4;0;674;0;2;0;0;108;61;Düsseldorf;01/01/2019;Bundesliga;30581;17;441;5;1;0;0;36;95;No;0;0;17;34;6;12;16;36;67;30;No;No
Yvon Mvogo;25;186;Switzerland;Goalkeeper;2000000;2;180;0;0;0;0;0;0;82;0;0;0;0;15;2;RB Leipzig;01/01/2019;Bundesliga;28819;2;68;0;0;1;0;3;5;No;0;0;3;34;18;12;4;81;37;66;Yes;No
Yves Bissouma;22;182;Mali;Midfield;9000000;22;1259;1;0;6;58;308;28;840;31;15;0;0;157;0;Brighton;01/01/2019;Premier League;22369;15;525;11;0;26;0;0;0;No;4;16;15;38;9;14;15;39;54;41;No;No
Yuya Osako;29;182;Japan;Forward;3000000;28;1848;8;2;13;31;371;19;943;31;39;5;0;110;0;Werder Bremen;01/01/2019;Bundesliga;26413;22;493;64;5;24;1;0;0;;2;46;16;34;8;7;19;42;69;31;No;No
Yusuf Yazıcı;22;183;Turkey;Midfield;13000000;18;848;1;4;16;17;248;12;577;11;7;1;0;66;0;Lille;01/01/2019;Ligue 1;36404;9;314;44;5;15;0;0;0;No;2;20;4;28;15;4;9;35;27;49;No;No
Yussuf Poulsen;25;192;Denmark;Forward;24000000;22;1222;5;6;10;13;414;18;548;29;28;1;0;64;0;RB Leipzig;01/01/2019;Bundesliga;28819;12;239;35;9;13;1;0;0;No;2;33;3;34;18;12;4;81;37;66;Yes;No
Yuri Berchiche;29;181;Spain;Defender;16000000;33;2850;2;1;80;50;408;75;2079;33;49;2;0;320;0;Athletic Club;01/01/2019;La Liga;28039;32;1351;56;3;47;0;0;0;No;7;35;11;38;13;12;13;41;38;51;No;No
Yunus Mallı;27;179;Turkey;Forward;2800000;13;673;0;1;4;9;110;8;303;6;17;0;0;40;0;Union Berlin;01/01/2019;Bundesliga;15467;9;152;15;2;5;0;0;0;;1;10;11;34;12;5;17;41;58;41;No;No
Yunis Abdelhamid;31;190;Morocco;Defender;2000000;28;2520;3;0;1;61;299;43;1856;21;20;0;0;226;0;Reims;01/01/2019;Ligue 1;12932;28;1328;16;1;21;0;0;0;No;0;19;6;28;10;11;7;26;21;41;No;No
Youssouf Sabaly;26;174;Senegal;Defender;8000000;12;913;0;1;22;24;144;16;724;11;14;0;0;110;0;Bordeaux;01/01/2019;Ligue 1;23430;10;488;21;1;12;0;0;0;No;1;6;12;28;9;10;9;40;34;37;No;No
Youssouf Koné;24;174;Mali;Defender;6000000;11;818;0;0;20;24;81;8;730;4;6;0;0;74;0;Lyon;01/01/2019;Ligue 1;47299;10;561;16;0;17;0;0;0;No;1;3;7;28;11;7;10;42;27;40;No;No
Youssouf Fofana;20;176;France;Midfield;11000000;7;610;0;2;5;23;235;15;449;12;7;1;0;76;0;Monaco;01/01/2019;Ligue 1;6451;7;381;12;2;11;0;0;0;No;1;15;9;28;11;7;10;44;44;40;No;No
Youssouf Fofana;20;176;France;Midfield;11000000;13;1008;1;0;6;18;152;16;579;11;6;1;0;95;0;Strasbourg;01/01/2019;Ligue 1;24985;12;306;16;0;11;0;0;0;;0;7;10;27;11;5;11;32;32;38;No;No
Youssef En-Nesyri;22;189;Morocco;Forward;12000000;18;1385;4;2;12;8;295;17;469;21;19;17;0;61;0;Leganés;01/01/2019;La Liga;7539;15;163;24;5;17;1;0;0;No;2;39;18;38;8;12;18;30;51;36;No;No
Youssef En-Nesyri;22;189;Morocco;Forward;12000000;18;796;4;0;5;8;193;8;261;16;11;12;0;27;0;Sevilla;01/01/2019;La Liga;25016;7;103;6;0;6;0;0;0;No;1;21;4;38;19;13;6;54;34;70;Yes;No
Youssef Aït Bennasser;23;184;Morocco;Midfield;4000000;12;536;0;1;1;11;164;12;473;10;3;0;0;79;0;Bordeaux;01/01/2019;Ligue 1;23430;6;357;8;2;6;0;0;0;No;1;2;12;28;9;10;9;40;34;37;No;No
Youri Tielemans;22;176;Belgium;Midfield;44000000;37;2828;3;6;45;57;604;51;2141;33;49;1;0;287;0;Leicester City;01/01/2019;Premier League;25312;32;1455;95;9;30;0;0;0;No;2;54;5;38;18;8;12;67;41;62;No;No
Youcef Attal;23;176;Algeria;Forward;20000000;13;1003;1;1;30;29;195;24;741;15;25;4;0;70;0;Nice;01/01/2019;Ligue 1;19225;12;411;32;2;41;1;0;0;No;5;19;5;28;11;8;9;41;38;41;No;No
Yoshinori Muto;27;178;Japan;Forward;3000000;8;212;0;0;1;3;52;1;51;2;3;3;0;9;0;Newcastle Utd;01/01/2019;Premier League;35551;2;26;4;0;6;0;0;0;No;0;1;13;38;11;11;16;38;58;44;No;No
Yohann Pelé;36;196;France;Goalkeeper;25000;2;150;0;0;0;0;0;0;51;0;1;0;0;6;4;Marseille;01/01/2019;Ligue 1;52805;1;36;0;0;0;0;2;6;No;0;0;2;28;16;8;4;41;29;56;Yes;No
Yohan Cabaye;33;173;France;Midfield;80000;15;858;0;1;8;37;249;12;613;21;12;0;0;113;0;Saint-Étienne;01/01/2019;Ligue 1;23205;12;403;20;1;7;0;0;0;No;3;11;17;28;8;6;14;29;45;30;No;No
Yoann Court;29;172;France;Forward;1000000;23;1465;3;7;33;57;328;23;770;22;21;6;0;91;0;Brest;01/01/2019;Ligue 1;13713;18;378;39;8;15;1;0;0;No;6;34;14;28;8;10;10;34;37;34;No;No
Yevgen Shakhov;28;189;Ukraine;Midfield;1500000;24;1085;1;2;1;34;285;15;529;21;10;5;0;85;0;Lecce;01/01/2019;Serie A;15939;9;334;31;7;17;1;0;0;No;3;13;18;38;9;8;21;52;85;35;No;No
Yerry Mina;24;195;Colombia;Defender;20000000;29;2284;2;1;4;43;229;37;1573;20;13;2;1;279;0;Everton;01/01/2019;Premier League;28848;25;1070;15;2;3;0;0;0;No;3;30;12;38;13;10;15;44;56;49;No;No
Yeray Álvarez;24;182;Spain;Defender;24000000;32;2810;0;0;11;39;222;58;1817;18;32;1;0;326;0;Athletic Club;01/01/2019;La Liga;28039;32;1149;19;1;11;0;0;0;No;2;12;11;38;13;12;13;41;38;51;No;No
Yaya Sanogo;26;194;France;Forward;2000000;15;910;3;1;1;5;209;9;301;28;22;5;0;39;0;Toulouse;01/01/2019;Ligue 1;14200;9;124;18;2;4;0;0;0;;1;24;20;28;3;4;21;22;58;13;No;No
Yassine Bounou;28;192;Morocco;Goalkeeper;15000000;6;495;0;1;0;0;0;0;185;0;1;0;0;30;17;Sevilla;01/01/2019;La Liga;25016;5;127;2;1;0;0;3;19;No;1;0;4;38;19;13;6;54;34;70;Yes;No
Yassine Benzia;24;178;Algeria;Midfield;1000000;3;173;0;0;2;3;52;3;106;5;8;0;0;12;0;Dijon;01/01/2019;Ligue 1;12707;2;60;5;0;3;0;0;0;No;0;4;16;28;7;9;12;27;37;30;No;No
Yassine Benrahou;20;170;France;Forward;2000000;6;168;0;2;3;6;46;1;139;1;3;1;0;17;0;Bordeaux;01/01/2019;Ligue 1;23430;1;83;10;1;1;0;0;0;No;0;3;12;28;9;10;9;40;34;37;No;No
Yassine Benrahou;20;170;France;Midfield;2000000;9;762;2;3;22;9;150;7;453;9;27;1;0;61;0;Nîmes;01/01/2019;Ligue 1;12555;9;208;36;5;19;0;0;0;No;1;23;18;28;7;6;15;29;44;27;No;No
Yannis Salibur;28;177;France;Midfield;1000000;4;82;0;0;4;0;12;1;53;3;4;0;0;4;0;Mallorca;01/01/2019;La Liga;10877;0;36;4;2;2;0;0;0;No;0;1;19;38;9;6;23;40;65;33;No;No
Yannis Clementia;22;188;France;Goalkeeper;95000;2;180;0;0;0;0;0;0;61;0;0;0;0;13;5;Nice;01/01/2019;Ligue 1;19225;2;41;0;0;0;0;2;6;No;0;0;5;28;11;8;9;41;38;41;No;No
Yannik Keitel;19;186;Germany;Midfield;45000;3;174;0;0;1;2;41;4;87;5;1;0;0;15;0;Freiburg;01/01/2019;Bundesliga;16888;2;54;2;0;3;0;0;0;No;0;2;8;34;13;9;12;48;47;48;No;No
Yannick Gerhardt;25;184;Germany;Midfield;6000000;18;828;2;0;9;32;235;16;512;10;18;1;0;111;0;Wolfsburg;01/01/2019;Bundesliga;18621;7;302;15;0;4;0;0;0;;1;11;7;34;13;10;11;48;46;49;No;No
Yannick Carrasco;25;181;Belgium;Midfield;22000000;15;631;1;2;8;13;148;11;353;8;13;2;0;60;0;Atlético Madrid;01/01/2019;La Liga;42236;6;174;25;7;18;2;0;0;No;2;17;3;38;18;16;4;51;27;70;Yes;No
Yann Sommer;30;183;Switzerland;Goalkeeper;9000000;34;3060;0;0;0;0;2;0;1617;0;2;0;0;192;110;M'Gladbach;01/01/2019;Bundesliga;36078;34;1270;1;0;1;0;40;152;No;0;0;4;34;20;5;9;66;40;65;Yes;No
Yann M'Vila;29;182;France;Midfield;6000000;23;1942;0;2;0;34;301;21;1362;15;16;0;0;262;0;Saint-Étienne;01/01/2019;Ligue 1;23205;21;1024;19;2;6;0;0;0;No;1;9;17;28;8;6;14;29;45;30;No;No
Yann Karamoh;21;185;France;Forward;9000000;14;573;1;1;5;8;137;8;244;7;14;1;0;36;0;Parma;01/01/2019;Serie A;10245;5;107;26;3;15;0;0;0;No;0;11;11;38;14;7;17;56;57;49;No;No
Yann Gboho;18;178;France;Forward;2000000;8;226;1;1;2;3;64;4;93;8;8;1;0;11;0;Rennes;01/01/2019;Ligue 1;25893;2;38;5;1;7;0;0;0;No;1;2;3;28;15;5;8;38;24;50;No;No
Yangel Herrera;21;184;Venezuela;Midfield;9000000;30;2368;2;3;5;81;744;57;1257;91;56;4;0;298;0;Granada;01/01/2019;La Liga;11174;28;714;50;9;21;0;0;0;No;14;34;7;38;16;8;14;52;45;56;No;No
Yan Valery;20;180;France;Defender;6000000;11;779;0;0;8;21;171;19;455;7;8;3;0;83;0;Southampton;01/01/2019;Premier League;23428;10;198;7;0;12;0;0;0;;1;3;11;38;15;7;16;51;60;52;No;No
Yan Brice Eteki;21;182;Cameroon;Midfield;1500000;28;1499;0;0;0;33;406;24;583;51;32;0;0;178;0;Granada;01/01/2019;La Liga;11174;18;338;15;2;13;0;0;0;No;4;7;7;38;16;8;14;52;45;56;No;No
Yacine Adli;19;186;France;Midfield;6000000;21;1020;3;3;11;27;328;11;735;13;18;0;0;85;0;Bordeaux;01/01/2019;Ligue 1;23430;11;460;38;7;24;0;0;0;No;3;18;12;28;9;10;9;40;34;37;No;No
Yıldırım Mert Çetin;22;189;Turkey;Defender;4000000;6;257;0;0;0;5;31;7;165;6;6;0;0;27;0;Roma;01/01/2019;Serie A;26956;2;126;0;0;3;0;0;0;No;4;3;5;38;21;7;10;77;51;70;No;No
Xisco Campos;37;180;Spain;Defender;10000;9;473;0;1;1;7;63;10;264;8;3;1;0;46;0;Mallorca;01/01/2019;La Liga;10877;4;153;2;1;0;0;0;0;No;2;4;19;38;9;6;23;40;65;33;No;No
Ximo Navarro;29;176;Spain;Defender;2000000;23;1903;0;0;15;47;269;49;1119;29;32;0;0;229;0;Alavés;01/01/2019;La Liga;12177;22;643;6;0;14;0;0;0;No;8;7;16;38;10;9;19;34;59;39;No;No
Xherdan Shaqiri;27;169;Switzerland;Forward;16000000;7;185;1;0;4;1;39;1;129;1;3;1;0;17;0;Liverpool;01/01/2019;Premier League;41955;2;90;4;0;2;0;0;0;No;0;4;1;38;32;3;3;85;33;99;Yes;Yes
Xeka;24;186;Portugal;Midfield;7000000;17;709;0;0;3;21;209;10;525;16;9;0;0;76;0;Lille;01/01/2019;Ligue 1;36404;8;386;19;1;5;0;0;0;No;4;9;4;28;15;4;9;35;27;49;No;No
Xavier Chavalerin;28;179;France;Midfield;4000000;24;2147;1;3;37;76;505;39;1344;39;9;4;0;205;0;Reims;01/01/2019;Ligue 1;12932;24;848;57;4;20;0;0;0;No;6;19;6;28;10;11;7;26;21;41;No;No
Xavi Quintillà;22;179;Spain;Defender;4000000;19;1573;0;2;63;25;204;32;1171;26;12;1;0;123;0;Villarreal;01/01/2019;La Liga;11321;17;850;32;3;4;0;0;0;;6;3;5;38;18;6;14;63;49;60;No;No
Xaver Schlager;21;174;Austria;Midfield;12000000;23;1719;1;2;8;56;462;32;928;33;24;0;0;229;0;Wolfsburg;01/01/2019;Bundesliga;18621;21;530;36;4;24;0;0;0;;4;32;7;34;13;10;11;48;46;49;No;No
Xabier Etxeita;31;186;Spain;Defender;1000000;17;1446;0;0;1;22;140;21;581;16;12;0;0;182;0;Getafe;01/01/2019;La Liga;8000;16;209;5;0;0;0;0;0;No;7;7;8;38;14;12;12;43;37;54;No;No
Wylan Cyprien;24;180;France;Midfield;14000000;20;1772;7;3;24;22;336;14;1525;13;32;1;0;155;0;Nice;01/01/2019;Ligue 1;19225;20;1122;68;10;11;0;0;0;No;3;53;5;28;11;8;9;41;38;41;No;No
Wu Lei;27;174;China;Forward;6000000;33;1719;4;0;24;18;296;33;516;17;18;14;0;91;0;Espanyol;01/01/2019;La Liga;16260;21;208;25;2;17;0;0;0;No;3;45;20;38;5;10;23;27;58;25;No;No
Wout Weghorst;26;197;Netherlands;Forward;21000000;32;2739;16;3;9;15;759;27;1189;47;41;19;0;137;0;Wolfsburg;01/01/2019;Bundesliga;18621;30;533;83;9;28;1;0;0;;7;82;7;34;13;10;11;48;46;49;No;No
Wojciech Szczęsny;29;196;Poland;Goalkeeper;35000000;29;2591;0;0;0;0;1;0;830;1;1;0;0;131;95;Juventus;01/01/2019;Serie A;25102;29;656;3;1;0;0;33;120;No;1;0;1;38;26;5;7;76;43;83;Yes;No
Wladimiro Falcone;24;195;Italy;Goalkeeper;15000;2;180;0;0;0;0;1;0;68;1;0;0;0;12;8;Sampdoria;01/01/2019;Serie A;13700;2;39;0;0;0;0;5;13;No;1;0;15;38;12;6;20;48;65;42;No;No
Wissam Ben Yedder;28;170;France;Forward;40000000;26;2164;18;4;24;19;456;19;1064;10;17;7;0;125;0;Monaco;01/01/2019;Ligue 1;6451;25;613;89;13;37;1;0;0;No;1;63;9;28;11;7;10;44;44;40;No;No
Willy Caballero;37;186;Argentina;Goalkeeper;60000;5;450;0;0;0;0;0;0;177;0;0;0;0;17;10;Chelsea;01/01/2019;Premier League;32023;5;121;0;0;0;0;7;16;No;0;0;4;38;20;6;12;69;54;66;Yes;No
Willian José;27;189;Brazil;Forward;24000000;37;2011;11;1;10;3;188;16;764;27;25;15;0;87;0;Real Sociedad;01/01/2019;La Liga;21204;24;406;46;5;9;0;0;0;No;4;58;6;38;16;8;14;56;48;56;No;No
Willian;30;175;Brazil;Forward;19000000;36;2600;9;7;86;43;525;22;1927;17;45;4;0;220;0;Chelsea;01/01/2019;Premier League;32023;29;1247;148;14;62;1;0;0;No;4;67;4;38;20;6;12;69;54;66;Yes;No
William Vainqueur;30;179;France;Midfield;1000000;21;1715;0;0;12;64;383;29;1200;41;19;1;0;206;0;Toulouse;01/01/2019;Ligue 1;14200;21;896;27;3;30;0;0;0;;8;17;20;28;3;4;21;22;58;13;No;No
William Troost-Ekong;25;191;Niger;Defender;3000000;30;2576;0;0;1;35;251;58;1324;18;8;0;0;204;0;Udinese;01/01/2019;Serie A;13841;29;860;11;0;4;0;0;0;;5;5;13;38;12;9;17;37;51;45;No;No
William Smallbone;19;173;United Kingdom;Midfield;3000000;9;393;0;2;4;12;72;10;251;2;6;0;0;42;0;Southampton;01/01/2019;Premier League;23428;4;175;4;2;2;0;0;0;;0;5;11;38;15;7;16;51;60;52;No;No
William Saliba;18;193;France;Defender;22000000;12;992;0;0;0;26;88;17;661;2;5;0;0;132;0;Saint-Étienne;01/01/2019;Ligue 1;23205;11;479;4;0;10;0;0;0;No;0;3;17;28;8;6;14;29;45;30;No;No
William Carvalho;27;187;Portugal;Midfield;16000000;13;892;0;0;1;10;105;13;702;17;8;0;0;84;0;Betis;01/01/2019;La Liga;35969;11;564;14;1;15;0;0;0;No;6;6;15;38;10;11;17;48;60;41;No;No
William;24;176;Brazil;Defender;10000000;16;1364;1;1;47;54;353;38;1124;30;15;1;0;144;0;Wolfsburg;01/01/2019;Bundesliga;18621;16;635;28;2;22;0;0;0;;0;17;7;34;13;10;11;48;46;49;No;No
Willi Orban;26;186;Hungary;Defender;16000000;12;856;1;0;0;22;98;17;715;6;11;2;0;108;0;RB Leipzig;01/01/2019;Bundesliga;28819;9;509;13;0;3;0;0;0;No;0;7;3;34;18;12;4;81;37;66;Yes;No
Will Hughes;24;185;United Kingdom;Midfield;14000000;30;2252;1;1;32;80;676;66;1260;53;46;1;0;267;0;Watford;01/01/2019;Premier League;15353;27;677;51;3;25;0;0;0;;9;27;19;38;8;10;20;36;64;34;No;No
Wilfried Kanga;21;185;France;Forward;90000;4;68;0;0;0;0;19;0;29;2;0;1;0;2;0;Angers;01/01/2019;Ligue 1;9825;0;12;2;0;1;0;0;0;No;0;2;11;28;11;6;11;28;33;39;No;No
Wilfrid Kaptoum;23;170;Cameroon;Midfield;2000000;5;194;0;0;1;6;43;3;102;1;3;0;0;13;0;Betis;01/01/2019;La Liga;35969;2;59;2;0;2;0;0;0;No;1;3;15;38;10;11;17;48;60;41;No;No
Wilfred Ndidi;22;183;Niger;Midfield;36000000;32;2674;2;1;2;125;743;71;2049;56;27;1;0;430;0;Leicester City;01/01/2019;Premier League;25312;29;1416;39;4;24;0;0;0;No;6;27;5;38;18;8;12;67;41;62;No;No
Weston McKennie;20;185;United States;Midfield;20000000;28;2074;3;0;13;53;492;47;1345;37;15;0;0;245;0;Schalke 04;01/01/2019;Bundesliga;46681;24;848;50;2;26;0;0;0;No;8;32;12;34;9;12;13;38;58;39;No;No
Wesley Said;24;171;France;Midfield;4000000;23;1160;2;1;16;15;208;15;533;11;8;1;0;79;0;Toulouse;01/01/2019;Ligue 1;14200;14;331;29;2;31;0;0;0;;2;25;20;28;3;4;21;22;58;13;No;No
